,Year,Week,Team,TeamName,Opponent,Score,Opp_Score,Result
312,2010,14,LOTH,The Hungry Sharks,KLENK,115.0,83.0,W
313,2010,14,KLENK,Go Buckeyes,LOTH,83.0,115.0,L
314,2010,14,KEVIN,Team spurlock,MITCH,60.0,97.0,L
315,2010,14,MITCH,Team schoener,KEVIN,97.0,60.0,W
316,2010,14,TEPE,Team tepe,DUKE,94.0,72.0,W
317,2010,14,DUKE,Team Duke,TEPE,72.0,94.0,L
318,2010,15,CRAIG,Michael Vick Is Amazing,LOTH,154.0,76.0,W
319,2010,15,LOTH,The Hungry Sharks,CRAIG,76.0,154.0,L
320,2010,15,MITCH,Team schoener,KERN,107.0,86.0,W
321,2010,15,KERN,Back to Back Champs,MITCH,86.0,107.0,L
322,2010,15,PETERS,Team 3,KLENK,17.0,90.0,L
323,2010,15,KLENK,Go Buckeyes,PETERS,90.0,17.0,W
324,2010,15,TEPE,Team tepe,DUKE,65.0,89.0,L
325,2010,15,DUKE,Team Duke,TEPE,89.0,65.0,W
326,2010,15,KEVIN,Team spurlock,TIERNAN,58.0,81.0,L
327,2010,15,TIERNAN,I SUCK at Fantasyfootball,KEVIN,81.0,58.0,W
328,2010,16,MEADE,Team Meade,CRAIG,90.0,104.0,L
329,2010,16,CRAIG,Michael Vick Is Amazing,MEADE,104.0,90.0,W
330,2010,16,HAMM,The Bengals Are Awful,MITCH,93.0,76.0,W
331,2010,16,MITCH,Team schoener,HAMM,76.0,93.0,L
332,2010,16,LOTH,The Hungry Sharks,KERN,96.0,88.0,W
333,2010,16,KERN,Back to Back Champs,LOTH,88.0,96.0,L
334,2010,16,KLENK,Go Buckeyes,DUKE,74.0,64.0,W
335,2010,16,DUKE,Team Duke,KLENK,64.0,74.0,L
336,2010,16,PETERS,Team 3,TIERNAN,82.0,70.0,W
337,2010,16,TIERNAN,I SUCK at Fantasyfootball,PETERS,70.0,82.0,L
338,2010,16,TEPE,Team tepe,KEVIN,42.0,119.0,L
339,2010,16,KEVIN,Team spurlock,TEPE,119.0,42.0,W
340,2010,17,HAMM,The Bengals Are Awful,CRAIG,73.0,93.0,L
341,2010,17,CRAIG,Michael Vick Is Amazing,HAMM,93.0,73.0,W
342,2010,17,MEADE,Team Meade,MITCH,91.0,52.0,W
343,2010,17,MITCH,Team schoener,MEADE,52.0,91.0,L
344,2010,17,LOTH,The Hungry Sharks,KERN,105.0,83.0,W
345,2010,17,KERN,Back to Back Champs,LOTH,83.0,105.0,L
346,2010,17,PETERS,Team 3,KLENK,48.0,45.0,W
347,2010,17,KLENK,Go Buckeyes,PETERS,45.0,48.0,L
348,2010,17,DUKE,Team Duke,KEVIN,73.0,78.0,L
349,2010,17,KEVIN,Team spurlock,DUKE,78.0,73.0,W
350,2010,17,TEPE,Team tepe,TIERNAN,47.0,52.0,L
351,2010,17,TIERNAN,I SUCK at Fantasyfootball,TEPE,52.0,47.0,W
352,2011,1,CRAIG,The Comeback Kid... or not.,HAMM,124.0,98.0,W
353,2011,1,HAMM,What Did I Tell You?,CRAIG,98.0,124.0,L
354,2011,1,LOTH,Don't Judge A Cripple,KLENK,114.0,91.0,W
355,2011,1,KLENK,Best Loser,LOTH,91.0,114.0,L
356,2011,1,BONO,fighting oompaloompas,MEADE,112.0,171.0,L
357,2011,1,MEADE,CYO bball is great,BONO,171.0,112.0,W
358,2011,1,JACKROSS,Team Shooter,MITCH,96.0,98.0,L
359,2011,1,MITCH,i dont know a name,JACKROSS,98.0,96.0,W
360,2011,2,HAMM,What Did I Tell You?,MEADE,123.0,167.0,L
361,2011,2,MEADE,CYO bball is great,HAMM,167.0,123.0,W
362,2011,2,KLENK,Best Loser,CRAIG,118.0,101.0,W
363,2011,2,CRAIG,The Comeback Kid... or not.,KLENK,101.0,118.0,L
364,2011,2,BONO,fighting oompaloompas,MITCH,111.0,124.0,L
365,2011,2,MITCH,i dont know a name,BONO,124.0,111.0,W
366,2011,2,JACKROSS,Team Shooter,LOTH,156.0,181.0,L
367,2011,2,LOTH,Don't Judge A Cripple,JACKROSS,181.0,156.0,W
368,2011,3,CRAIG,The Comeback Kid... or not.,LOTH,66.0,118.0,L
369,2011,3,LOTH,Don't Judge A Cripple,CRAIG,118.0,66.0,W
370,2011,3,MEADE,CYO bball is great,KLENK,144.0,72.0,W
371,2011,3,KLENK,Best Loser,MEADE,72.0,144.0,L
372,2011,3,MITCH,i dont know a name,HAMM,94.0,85.0,W
373,2011,3,HAMM,What Did I Tell You?,MITCH,85.0,94.0,L
374,2011,3,JACKROSS,Team Shooter,BONO,98.0,92.0,W
375,2011,3,BONO,fighting oompaloompas,JACKROSS,92.0,98.0,L
376,2011,4,MEADE,CYO bball is great,MITCH,87.0,109.0,L
377,2011,4,MITCH,i dont know a name,MEADE,109.0,87.0,W
