Team,Year,Week,Points,Pts_Against,Result,Opponent,W,L,D
ERIC,2019,15,89.80,128.4,L,DUKE,0,1,0
ERIC,2019,16,120.60,90.3,W,FIELER,1,0,0
RYAN,2019,1,184.90,105.8,W,BISCH,1,0,0
RYAN,2019,2,76.20,100.4,L,LOTH,0,1,0
RYAN,2019,3,154.40,106,W,COLLIN,1,0,0
RYAN,2019,4,110.50,99.5,W,FIELER,1,0,0
RYAN,2019,5,156.90,125.5,W,DUKE,1,0,0
RYAN,2019,6,125.40,115.1,W,HAMM,1,0,0
RYAN,2019,7,48.80,69.6,L,JAMES,0,1,0
RYAN,2019,8,143.70,113.1,W,CRAIG,1,0,0
RYAN,2019,9,129.90,91,W,ERIC,1,0,0
RYAN,2019,10,99.80,106.4,L,MURPH,0,1,0
RYAN,2019,11,86.60,96.7,L,CAP,0,1,0
RYAN,2019,12,132.20,105.3,W,BISCH,1,0,0
RYAN,2019,13,123.00,106,W,LOTH,1,0,0
RYAN,2019,14,124.50,152.9,L,DUKE,0,1,0
RYAN,2019,15,145.10,92.8,W,MURPH,1,0,0
RYAN,2019,16,107.50,137.3,L,CAP,0,1,0
COLLIN,2019,1,106.00,132,L,ERIC,0,1,0
COLLIN,2019,2,75.90,105.5,L,MURPH,0,1,0
COLLIN,2019,3,106.00,154.4,L,RYAN,0,1,0
COLLIN,2019,4,78.60,92.7,L,BISCH,0,1,0
COLLIN,2019,5,93.20,133.6,L,LOTH,0,1,0
COLLIN,2019,6,109.50,75.2,W,CAP,1,0,0
COLLIN,2019,7,83.80,89,L,FIELER,0,1,0
COLLIN,2019,8,102.70,120.2,L,DUKE,0,1,0
COLLIN,2019,9,90.50,127,L,HAMM,0,1,0
COLLIN,2019,10,100.30,88,W,JAMES,1,0,0
COLLIN,2019,11,98.40,97.1,W,CRAIG,1,0,0
COLLIN,2019,12,85.60,107.9,L,ERIC,0,1,0
COLLIN,2019,13,82.50,86.6,L,MURPH,0,1,0
COLLIN,2019,14,99.70,90.8,W,JAMES,1,0,0
COLLIN,2019,15,81.40,143,L,CRAIG,0,1,0
COLLIN,2019,16,74.00,101.7,L,LOTH,0,1,0
CAP,2019,1,94.70,135.5,L,HAMM,0,1,0
CAP,2019,2,101.50,120,L,BISCH,0,1,0
CAP,2019,3,123.80,130.1,L,JAMES,0,1,0
CAP,2019,4,136.40,108.3,W,LOTH,1,0,0
CAP,2019,5,90.20,116.1,L,CRAIG,0,1,0
